age,year,area,f
18,1972,1,0.015627663
19,1972,1,0.016106478
20,1972,1,0.016494315
21,1972,1,0.016804689
22,1972,1,0.017050375
23,1972,1,0.017242914
24,1972,1,0.017392407
25,1972,1,0.017507672
26,1972,1,0.017595322
27,1972,1,0.017661361
28,1972,1,0.017710633
29,1972,1,0.017746996
30,1972,1,0.017773494
31,1972,1,0.017792511
32,1972,1,0.017805891
33,1972,1,0.017815063
34,1972,1,0.017821117
35,1972,1,0.017824887
36,1972,1,0.017827005
37,1972,1,0.017827944
38,1972,1,0.017827944
39,1972,1,0.017827944
40,1972,1,0.017827944
1,1973,1,1.7303527e-06
2,1973,1,0.024676638
3,1973,1,0.033171392
4,1973,1,0.043033503
5,1973,1,0.030338307
6,1973,1,0.018499417
7,1973,1,0.014645734
8,1973,1,0.014288476
9,1973,1,0.014344496
10,1973,1,0.014337501
11,1973,1,0.014630222
12,1973,1,0.015531867
13,1973,1,0.016993524
14,1973,1,0.018654641
15,1973,1,0.020244621
16,1973,1,0.02166563
17,1973,1,0.022891455
18,1973,1,0.023925429
19,1973,1,0.024782607
20,1973,1,0.025482677
21,1973,1,0.026046785
22,1973,1,0.026495785
23,1973,1,0.026849193
24,1973,1,0.027124491
25,1973,1,0.027337035
26,1973,1,0.027499243
27,1973,1,0.027621865
28,1973,1,0.027713639
29,1973,1,0.027781557
30,1973,1,0.027831204
31,1973,1,0.027866941
32,1973,1,0.027892189
33,1973,1,0.027909557
34,1973,1,0.027921097
35,1973,1,0.02792835
36,1973,1,0.027932501
37,1973,1,0.027934413
38,1973,1,0.027934413
39,1973,1,0.027934413
40,1973,1,0.027934413
1,1974,1,2.431661e-06
2,1974,1,0.025236512
3,1974,1,0.032920733
4,1974,1,0.042075534
5,1974,1,0.029945157
6,1974,1,0.019166295
7,1974,1,0.016333285
8,1974,1,0.016773608
9,1974,1,0.017585652
10,1974,1,0.018412861
11,1974,1,0.019692796
12,1974,1,0.0217342
13,1974,1,0.024366615
14,1974,1,0.027046211
15,1974,1,0.029431022
16,1974,1,0.031450412
17,1974,1,0.033121638
18,1974,1,0.034487384
19,1974,1,0.035592937
20,1974,1,0.036479797
21,1974,1,0.03718475
22,1974,1,0.037739992
23,1974,1,0.038173356
24,1974,1,0.03850865
25,1974,1,0.038765967
26,1974,1,0.038961405
27,1974,1,0.03910851
28,1974,1,0.039218167
29,1974,1,0.039299025
30,1974,1,0.039357902
31,1974,1,0.039400118
32,1974,1,0.039429803
33,1974,1,0.039450155
34,1974,1,0.039463563
35,1974,1,0.039471918
36,1974,1,0.03947661
37,1974,1,0.039478675
38,1974,1,0.039478675
39,1974,1,0.039478675
40,1974,1,0.039478675
1,1975,1,3.4038358e-06
2,1975,1,0.014046911
3,1975,1,0.018814819
4,1975,1,0.024397067
5,1975,1,0.017439904
6,1975,1,0.011551272
7,1975,1,0.010671033
8,1975,1,0.011793113
9,1975,1,0.0129971
10,1975,1,0.014015204
11,1975,1,0.015152015
12,1975,1,0.016650735
13,1975,1,0.018421548
14,1975,1,0.020145655
15,1975,1,0.021635989
16,1975,1,0.022867006
17,1975,1,0.023863202
18,1975,1,0.024661163
19,1975,1,0.025295946
20,1975,1,0.025797658
21,1975,1,0.026191526
22,1975,1,0.026498527
23,1975,1,0.026736053
24,1975,1,0.026918476
25,1975,1,0.027057594
26,1975,1,0.02716266
27,1975,1,0.027241346
28,1975,1,0.027299715
29,1975,1,0.027342545
30,1975,1,0.027373587
31,1975,1,0.027395723
32,1975,1,0.027411187
33,1975,1,0.027421695
34,1975,1,0.027428549
35,1975,1,0.027432739
36,1975,1,0.027435009
37,1975,1,0.027435917
38,1975,1,0.027435917
39,1975,1,0.027435917
40,1975,1,0.027435917
1,1976,1,3.910192e-06
2,1976,1,0.019688341
3,1976,1,0.026766524
4,1976,1,0.034949805
5,1976,1,0.024815136
6,1976,1,0.015913711
7,1976,1,0.01398622
8,1976,1,0.014936879
9,1976,1,0.016103705
10,1976,1,0.017093969
11,1976,1,0.018295432
12,1976,1,0.02001662
13,1976,1,0.022133402
14,1976,1,0.024220781
15,1976,1,0.026027234
16,1976,1,0.027515546
17,1976,1,0.028715568
18,1976,1,0.029673411
19,1976,1,0.030433074
20,1976,1,0.031032041
21,1976,1,0.031501359
22,1976,1,0.031866619
23,1976,1,0.0321489
24,1976,1,0.032365477
25,1976,1,0.032530556
26,1976,1,0.032655116
27,1976,1,0.032748321
28,1976,1,0.032817411
29,1976,1,0.032868082
30,1976,1,0.032904772
31,1976,1,0.032930922
32,1976,1,0.032949183
33,1976,1,0.032961571
34,1976,1,0.032969649
35,1976,1,0.032974579
36,1976,1,0.032977234
37,1976,1,0.032978291
38,1976,1,0.032978291
39,1976,1,0.032978291
40,1976,1,0.032978291
1,1977,1,6.3976265e-06
2,1977,1,0.016789595
3,1977,1,0.024159926
4,1977,1,0.032428319
5,1977,1,0.023003365
6,1977,1,0.014907082
7,1977,1,0.013845242
8,1977,1,0.015695207
9,1977,1,0.017546711
10,1977,1,0.018881011
11,1977,1,0.020095324
12,1977,1,0.021575785
13,1977,1,0.023289328
14,1977,1,0.024939974
15,1977,1,0.026353186
16,1977,1,0.027504267
17,1977,1,0.028419858
18,1977,1,0.02913961
19,1977,1,0.029701468
20,1977,1,0.030137717
21,1977,1,0.030474704
22,1977,1,0.030733648
23,1977,1,0.030931529
24,1977,1,0.031081865
25,1977,1,0.031195503
26,1977,1,0.031280566
27,1977,1,0.031343739
28,1977,1,0.031390233
29,1977,1,0.031424077
30,1977,1,0.031448401
31,1977,1,0.031465581
32,1977,1,0.031477445
33,1977,1,0.031485383
34,1977,1,0.031490449
35,1977,1,0.031493417
36,1977,1,0.031494911
37,1977,1,0.031495344
38,1977,1,0.031495344
39,1977,1,0.031495344
40,1977,1,0.031495344
1,1978,1,8.0266484e-06
2,1978,1,0.03497199
3,1978,1,0.051553252
4,1978,1,0.069857978
5,1978,1,0.048803929
6,1978,1,0.029126292
7,1978,1,0.023423067
8,1978,1,0.023948036
9,1978,1,0.024983429
