year,area,stage,f
2004,3,juvenile,0.552703587730498
2005,3,juvenile,0.531389639070005
2006,3,juvenile,0.529279670444663
2007,3,juvenile,0.51339561733742
2008,3,juvenile,0.753732618774574
2009,3,juvenile,0.812131285278352
2010,3,juvenile,1.16058232777594
2011,3,juvenile,1.10364506990624
2012,3,juvenile,1.68369094888886
2013,3,juvenile,1.55131321838952
2014,3,juvenile,0.892140956117906
2015,3,juvenile,0.454759744528601
2016,3,juvenile,0.755047952697497
2017,3,juvenile,1.06203945784475
2018,3,juvenile,0.591252994635303
2019,3,juvenile,0.393248099793083
2020,3,juvenile,0.79084629382774
2021,3,juvenile,0.448845428369082
1952,4,juvenile,0.000976268402800832
1953,4,juvenile,0.00124950044680008
1954,4,juvenile,0.000503654070809849
1955,4,juvenile,0.00131497988319504
1956,4,juvenile,0.00121859158235278
1957,4,juvenile,0.00244099924070749
1958,4,juvenile,0.00280532724758041
1959,4,juvenile,0.00249708479209057
1960,4,juvenile,0.00348745509919455
1961,4,juvenile,0.00447211715842813
1962,4,juvenile,0.00404657732678863
1963,4,juvenile,0.00483072292443591
1964,4,juvenile,0.00378018287875518
1965,4,juvenile,0.00307132073233129
1966,4,juvenile,0.00459901660815373
1967,4,juvenile,0.00269958598934166
1968,4,juvenile,0.00352919498823286
1969,4,juvenile,0.00442462501791639
1970,4,juvenile,0.00322635104576293
1971,4,juvenile,0.00345506398820039
1972,4,juvenile,0.00549898321519507
1973,4,juvenile,0.00515376930145441
1974,4,juvenile,0.00496633931310345
1975,4,juvenile,0.00493878969711516
1976,4,juvenile,0.0102568160901716
1977,4,juvenile,0.0111001742522828
1978,4,juvenile,0.0114062292925728
1979,4,juvenile,0.0139988824860535
1980,4,juvenile,0.020494049246069
1981,4,juvenile,0.0331133806602353
1982,4,juvenile,0.0559484888860744
1983,4,juvenile,0.0661030901633612
1984,4,juvenile,0.0954873671099602
1985,4,juvenile,0.0477827829146048
1986,4,juvenile,0.0705313858343125
1987,4,juvenile,0.0993879104614009
1988,4,juvenile,0.104124059674675
1989,4,juvenile,0.123780265922881
1990,4,juvenile,0.240135370552349
1991,4,juvenile,0.213571550106318
1992,4,juvenile,0.29056496946493
1993,4,juvenile,0.303283136575038
1994,4,juvenile,0.285137438493818
1995,4,juvenile,0.184088770526841
1996,4,juvenile,0.158010601927753
1997,4,juvenile,0.250471387263794
